accuracy,forward_time,frobenius,graph_id,hungarian_time,l1,model_kind,seed,split,total_time
1.0,0.2199448330065934,0.0,0,0.0014117919927230105,0.0,gat,0,baseline_seen,0.2213566249993164
1.0,0.044903749992954545,0.0,0,0.0009201250068144873,0.0,gat,1,baseline_seen,0.04582387499976903
1.0,0.04402641700289678,0.0,0,0.0014053749910090119,0.0,gat,2,baseline_seen,0.04543179199390579
1.0,0.044737625008565374,0.0,0,0.0010024170042015612,0.0,gat,3,baseline_seen,0.045740042012766935
1.0,0.04744087500148453,0.0,0,0.0007952919986564666,0.0,gat,4,baseline_seen,0.048236167000140995
1.0,0.044909332995302975,0.0,0,0.0008446669962722808,0.0,gat,5,baseline_seen,0.045753999991575256
1.0,0.046973083008197136,0.0,0,0.0009145830117631704,0.0,gat,6,baseline_seen,0.04788766601996031
1.0,0.046888500000932254,0.0,0,0.0014715830038767308,0.0,gat,7,baseline_seen,0.048360083004808985
1.0,0.049135042005218565,0.0,0,0.0010138330108020455,0.0,gat,8,baseline_seen,0.05014887501602061
1.0,0.05143799999495968,0.0,0,0.0011630409862846136,0.0,gat,9,baseline_seen,0.052601040981244296
1.0,0.05724466701212805,0.0,1,0.0009002919978229329,0.0,gat,0,baseline_seen,0.05814495900995098
1.0,0.05732016700494569,0.0,1,0.0008269999962067232,0.0,gat,1,baseline_seen,0.05814716700115241
1.0,0.06045629200525582,0.0,1,0.0010537079942878336,0.0,gat,2,baseline_seen,0.06150999999954365
1.0,0.06745029099693056,0.0,1,0.0011719580070348457,0.0,gat,3,baseline_seen,0.06862224900396541
1.0,0.07561941699532326,0.0,1,0.0017885410052258521,0.0,gat,4,baseline_seen,0.07740795800054912
1.0,0.07325370800390374,0.0,1,0.0015187500102911144,0.0,gat,5,baseline_seen,0.07477245801419485
1.0,0.06529158299963456,0.0,1,0.001591459003975615,0.0,gat,6,baseline_seen,0.06688304200361017
1.0,0.05879812499915715,0.0,1,0.001414833008311689,0.0,gat,7,baseline_seen,0.06021295800746884
1.0,0.05745483400824014,0.0,1,0.0017291670083068311,0.0,gat,8,baseline_seen,0.05918400101654697
1.0,0.05584566701145377,0.0,1,0.0012930840020999312,0.0,gat,9,baseline_seen,0.0571387510135537
1.0,0.05550466600107029,0.0,2,0.0014484169951174408,0.0,gat,0,baseline_seen,0.05695308299618773
1.0,0.05500008301169146,0.0,2,0.0014034170017112046,0.0,gat,1,baseline_seen,0.05640350001340266
1.0,0.05674804199952632,0.0,2,0.0012912919919472188,0.0,gat,2,baseline_seen,0.05803933399147354
1.0,0.05416687499382533,0.0,2,0.0012290830054553226,0.0,gat,3,baseline_seen,0.055395957999280654
1.0,0.05640629200206604,0.0,2,0.0012645829992834479,0.0,gat,4,baseline_seen,0.057670875001349486
1.0,0.05721408300451003,0.0,2,0.004903167005977593,0.0,gat,5,baseline_seen,0.062117250010487624
1.0,0.05704608299129177,0.0,2,0.0014797500043641776,0.0,gat,6,baseline_seen,0.058525832995655946
1.0,0.06156470799760427,0.0,2,0.0014072079939069226,0.0,gat,7,baseline_seen,0.0629719159915112
1.0,0.056668334000278264,0.0,2,0.0014784999948460609,0.0,gat,8,baseline_seen,0.058146833995124325
1.0,0.05855437499121763,0.0,2,0.0013618329976452515,0.0,gat,9,baseline_seen,0.05991620798886288
1.0,0.05758641600550618,0.0,3,0.0016903329960769042,0.0,gat,0,baseline_seen,0.059276749001583084
1.0,0.0569287499965867,0.0,3,0.0010439579928060994,0.0,gat,1,baseline_seen,0.0579727079893928
1.0,0.055011749995173886,0.0,3,0.001120291999541223,0.0,gat,2,baseline_seen,0.05613204199471511
1.0,0.05700566699670162,0.0,3,0.001062957991962321,0.0,gat,3,baseline_seen,0.05806862498866394
1.0,0.06350137499975972,0.0,3,0.0015122500044526532,0.0,gat,4,baseline_seen,0.06501362500421237
1.0,0.07934670899703633,0.0,3,0.0011207499919692054,0.0,gat,5,baseline_seen,0.08046745898900554
1.0,0.08490020799217746,0.0,3,0.0012189999979455024,0.0,gat,6,baseline_seen,0.08611920799012296
1.0,0.07947112500551157,0.0,3,0.0011140839924337342,0.0,gat,7,baseline_seen,0.0805852089979453
1.0,0.06742933300847653,0.0,3,0.0010931249998975545,0.0,gat,8,baseline_seen,0.06852245800837409
1.0,0.06501012500666548,0.0,3,0.0012512919929577038,0.0,gat,9,baseline_seen,0.06626141699962318
1.0,0.06087704098899849,0.0,4,0.0012717500067083165,0.0,gat,0,baseline_seen,0.062148790995706804
1.0,0.06056016599177383,0.0,4,0.0018334170017624274,0.0,gat,1,baseline_seen,0.062393582993536256
1.0,0.05988124999566935,0.0,4,0.0014608329947805032,0.0,gat,2,baseline_seen,0.06134208299044985
1.0,0.05876450000505429,0.0,4,0.0014256669965106994,0.0,gat,3,baseline_seen,0.06019016700156499
1.0,0.052549542000633664,0.0,4,0.0016048749967012554,0.0,gat,4,baseline_seen,0.05415441699733492
1.0,0.05204749999393243,0.0,4,0.0014344579976750538,0.0,gat,5,baseline_seen,0.05348195799160749
1.0,0.052497207987471484,0.0,4,0.0014224159967852756,0.0,gat,6,baseline_seen,0.05391962398425676
1.0,0.053259624997735955,0.0,4,0.001349167010630481,0.0,gat,7,baseline_seen,0.054608792008366436
1.0,0.05273783300071955,0.0,4,0.0012501250021159649,0.0,gat,8,baseline_seen,0.05398795800283551
1.0,0.05278254099539481,0.0,4,0.001249000008101575,0.0,gat,9,baseline_seen,0.054031541003496386
1.0,0.06335662498895545,0.0,5,0.001497208999353461,0.0,gat,0,baseline_seen,0.0648538339883089
1.0,0.05456529199727811,0.0,5,0.0010949169954983518,0.0,gat,1,baseline_seen,0.05566020899277646
1.0,0.056546792009612545,0.0,5,0.001319874994806014,0.0,gat,2,baseline_seen,0.05786666700441856
1.0,0.054280790995107964,0.0,5,0.0012959580053575337,0.0,gat,3,baseline_seen,0.0555767490004655
