accuracy,dataset,frobenius,graph_id,l1,method,seed
0.011111111380159855,empirical,2.8319644927978516,0,0.01704193465411663,faq,0
1.0,empirical,0.0,0,0.0,heuristic_strength,0
0.23333333432674408,empirical,2.5643081665039062,0,0.014400506392121315,heuristic_degree,0
1.0,empirical,0.0,0,0.0,heuristic_centrality,0
0.0,empirical,2.714452028274536,0,0.015793459489941597,mlp_sinkhorn,0
0.5444444417953491,empirical,2.1861441135406494,0,0.009938537143170834,gin,0
0.8222222328186035,empirical,1.4758650064468384,0,0.004606627393513918,gat,0
0.0,empirical,2.832915782928467,0,0.017060700803995132,faq,1
1.0,empirical,0.0,0,0.0,heuristic_strength,1
0.36666667461395264,empirical,2.5341386795043945,0,0.013457625173032284,heuristic_degree,1
1.0,empirical,0.0,0,0.0,heuristic_centrality,1
0.011111111380159855,empirical,2.7178163528442383,0,0.015911653637886047,mlp_sinkhorn,1
0.4888888895511627,empirical,2.231415033340454,0,0.010646617971360683,gin,1
0.800000011920929,empirical,1.4258395433425903,0,0.005059277173131704,gat,1
0.0,empirical,2.832915782928467,0,0.017060700803995132,faq,2
1.0,empirical,0.0,0,0.0,heuristic_strength,2
0.3222222328186035,empirical,2.570763349533081,0,0.014574541710317135,heuristic_degree,2
1.0,empirical,0.0,0,0.0,heuristic_centrality,2
0.011111111380159855,empirical,2.718543291091919,0,0.01589851640164852,mlp_sinkhorn,2
0.5666666626930237,empirical,2.182314872741699,0,0.009908467531204224,gin,2
0.8222222328186035,empirical,1.4360674619674683,0,0.004338932689279318,gat,2
0.011111111380159855,empirical,2.8319644927978516,0,0.01704193465411663,faq,3
1.0,empirical,0.0,0,0.0,heuristic_strength,3
0.3888888955116272,empirical,2.539911985397339,0,0.013451473787426949,heuristic_degree,3
1.0,empirical,0.0,0,0.0,heuristic_centrality,3
0.0,empirical,2.7285797595977783,0,0.015929918736219406,mlp_sinkhorn,3
0.5333333611488342,empirical,2.264643907546997,0,0.010881021618843079,gin,3
0.8444444537162781,empirical,1.303609848022461,0,0.003940272610634565,gat,3
0.0,empirical,2.8329153060913086,0,0.017060700803995132,faq,4
1.0,empirical,0.0,0,0.0,heuristic_strength,4
0.2777777910232544,empirical,2.628349781036377,0,0.014794755727052689,heuristic_degree,4
1.0,empirical,0.0,0,0.0,heuristic_centrality,4
0.0,empirical,2.7289810180664062,0,0.015833266079425812,mlp_sinkhorn,4
0.5555555820465088,empirical,2.1269004344940186,0,0.00987608265131712,gin,4
0.8222222328186035,empirical,1.3568631410598755,0,0.004305195063352585,gat,4
0.0,empirical,2.8329153060913086,0,0.017060700803995132,faq,5
1.0,empirical,0.0,0,0.0,heuristic_strength,5
0.35555556416511536,empirical,2.5414257049560547,0,0.013752336613833904,heuristic_degree,5
1.0,empirical,0.0,0,0.0,heuristic_centrality,5
0.0,empirical,2.733983278274536,0,0.01591692492365837,mlp_sinkhorn,5
0.5222222208976746,empirical,2.1234219074249268,0,0.009717755019664764,gin,5
0.7666666507720947,empirical,1.5404589176177979,0,0.005278241354972124,gat,5
0.011111111380159855,empirical,2.8319644927978516,0,0.01704193465411663,faq,6
1.0,empirical,0.0,0,0.0,heuristic_strength,6
0.30000001192092896,empirical,2.560194253921509,0,0.01436558086425066,heuristic_degree,6
1.0,empirical,0.0,0,0.0,heuristic_centrality,6
