forward_time,graph_id,hungarian time,model_kind,seed,split,total time
2.9653924579979503,0,0.07463237499905517,mlp,0,baseline_seen,3.0400248329970054
0.007247749999805819,0,0.0012829580009565689,mlp,1,baseline_seen,0.008530708000762388
0.00467120800021803,0,0.0009098750015255064,mlp,2,baseline_seen,0.0055810830017435364
0.004322583001339808,0,0.0013559170038206503,mlp,3,baseline_seen,0.005678500005160458
0.004558125001494773,0,0.0009687499987194315,mlp,4,baseline_seen,0.005526875000214204
0.0041013750014826655,0,0.0009905839979182929,mlp,5,baseline_seen,0.005091958999400958
0.006394624993845355,0,0.0009308750013587996,mlp,6,baseline_seen,0.007325499995204154
0.004124250001041219,0,0.0008990830028778873,mlp,7,baseline_seen,0.005023333003919106
0.004143457997997757,0,0.002397292002569884,mlp,8,baseline_seen,0.006540750000567641
0.004639833001419902,0,0.0015054999967105687,mlp,9,baseline_seen,0.0061453329981304705
0.004019958003482316,1,0.0008468330051982775,mlp,0,baseline_seen,0.004866791008680593
0.005954208994808141,1,0.0009762910049175844,mlp,1,baseline_seen,0.0069304999997257255
0.004135625000344589,1,0.0008653749973746017,mlp,2,baseline_seen,0.005000999997719191
0.004598166000505444,1,0.001382665999699384,mlp,3,baseline_seen,0.005980832000204828
0.0040425420011160895,1,0.0009442499940632842,mlp,4,baseline_seen,0.004986791995179374
0.003913624997949228,1,0.0008438330041826703,mlp,5,baseline_seen,0.004757458002131898
0.0039024169964250177,1,0.0012053750033373944,mlp,6,baseline_seen,0.005107791999762412
0.004950875001668464,1,0.001076749998901505,mlp,7,baseline_seen,0.006027625000569969
0.00433158300438663,1,0.0008177080017048866,mlp,8,baseline_seen,0.0051492910060915165
0.004102083003090229,1,0.0011254999990342185,mlp,9,baseline_seen,0.005227583002124447
0.004263875001925044,2,0.0008435410054516979,mlp,0,baseline_seen,0.005107416007376742
0.005247624998446554,2,0.0008913339988794178,mlp,1,baseline_seen,0.006138958997325972
0.00458450000587618,2,0.0010030830017058179,mlp,2,baseline_seen,0.005587583007581998
0.004036709004139993,2,0.0008842500028549694,mlp,3,baseline_seen,0.004920959006994963
0.003906500001903623,2,0.0008154160022968426,mlp,4,baseline_seen,0.004721916004200466
0.004523750001681037,2,0.0011960830015596002,mlp,5,baseline_seen,0.0057198330032406375
0.004143958001805004,2,0.0009753339982125908,mlp,6,baseline_seen,0.0051192920000175945
0.004088540998054668,2,0.0009405829987372272,mlp,7,baseline_seen,0.0050291239967918955
0.005084832999273203,2,0.0010537079942878336,mlp,8,baseline_seen,0.006138540993561037
0.004482916003325954,2,0.0009548749949317425,mlp,9,baseline_seen,0.005437790998257697
0.004317708000598941,3,0.001321083000220824,mlp,0,baseline_seen,0.005638791000819765
0.00434270899859257,3,0.0010083749948535115,mlp,1,baseline_seen,0.005351083993446082
0.004098749996046536,3,0.0009319999953731894,mlp,2,baseline_seen,0.005030749991419725
0.003956667002057657,3,0.0011387910053599626,mlp,3,baseline_seen,0.005095458007417619
0.0043624579993775114,3,0.0009724159972392954,mlp,4,baseline_seen,0.005334873996616807
0.0043697079963749275,3,0.0008964160006144084,mlp,5,baseline_seen,0.005266123996989336
0.0040236670029116794,3,0.0010269170015817508,mlp,6,baseline_seen,0.00505058400449343
0.00438729199959198,3,0.000920457998290658,mlp,7,baseline_seen,0.005307749997882638
0.004340708997915499,3,0.0008449170054518618,mlp,8,baseline_seen,0.005185626003367361
0.00413579199812375,3,0.0009808750037336722,mlp,9,baseline_seen,0.005116667001857422
0.004247583005053457,4,0.0009194169979309663,mlp,0,baseline_seen,0.005167000002984423
0.004422916994371917,4,0.0009391249986947514,mlp,1,baseline_seen,0.0053620419930666685
0.004198791000817437,4,0.00100712499988731,mlp,2,baseline_seen,0.005205916000704747
0.004348083006334491,4,0.0008818749993224628,mlp,3,baseline_seen,0.005229958005656954
0.0042828750010812655,4,0.0009441669972147793,mlp,4,baseline_seen,0.005227041998296045
0.0043952919950243086,4,0.0010350410011596978,mlp,5,baseline_seen,0.005430332996184006
0.004390832997160032,4,0.000912209005036857,mlp,6,baseline_seen,0.005303042002196889
0.004235000000335276,4,0.0009607920001144521,mlp,7,baseline_seen,0.005195792000449728
0.0046983330030343495,4,0.0011370840002200566,mlp,8,baseline_seen,0.005835417003254406
0.004392750000988599,4,0.0009809999974095263,mlp,9,baseline_seen,0.005373749998398125
0.0042949580019922,5,0.0013045000014244579,mlp,0,baseline_seen,0.0055994580034166574
0.004392833994643297,5,0.0011215420017833821,mlp,1,baseline_seen,0.005514375996426679
0.004346082998381462,5,0.0009570420006639324,mlp,2,baseline_seen,0.005303124999045394
0.004296750004868954,5,0.0010640839973348193,mlp,3,baseline_seen,0.005360834002203774
0.0045200000022305176,5,0.00101879100111546,mlp,4,baseline_seen,0.0055387910033459775
0.004434583999682218,5,0.0009812920034164563,mlp,5,baseline_seen,0.005415876003098674
0.0043071670006611384,5,0.0011693749984260648,mlp,6,baseline_seen,0.005476541999087203
0.004343708998931106,5,0.0009297500000684522,mlp,7,baseline_seen,0.005273458998999558
0.004472166998311877,5,0.0009838330006459728,mlp,8,baseline_seen,0.00545599999895785
0.004343041997344699,5,0.001102291003917344,mlp,9,baseline_seen,0.005445333001262043
0.004226292003295384,6,0.0009120000031543896,mlp,0,baseline_seen,0.005138292006449774
