alignment_improvement,alignment_p_value,frobenius,graph_id,hub_overlap,hub_overlap_null_mean,hub_overlap_p_value,l1,model,random_l1_mean
-0.01047327586968782,0.929070929070929,2.3910489082336426,0,0.0,0.1121,1.0,0.02157716080546379,mlp,0.021353519504889847
-0.014793722453487621,0.983016983016983,2.3963279724121094,1,0.1,0.10980000000000001,0.7012987012987013,0.021556980907917023,mlp,0.0212427219748497
-0.009773122105820929,0.9230769230769231,2.3999392986297607,2,0.0,0.10990000000000001,1.0,0.021472347900271416,mlp,0.021264527080580593
-0.015424077280960917,0.9820179820179821,2.3948211669921875,3,0.0,0.11380000000000001,1.0,0.021438416093587875,mlp,0.02111277108080685
-0.008558155286475851,0.8911088911088911,2.3851230144500732,4,0.0,0.11110000000000002,1.0,0.021422192454338074,mlp,0.021240413695573807
-0.00979021907413099,0.9050949050949051,2.395083427429199,5,0.1,0.11350000000000002,0.7292707292707292,0.021294983103871346,mlp,0.021088521854951976
-0.013480682725875263,0.97002997002997,2.391659736633301,6,0.0,0.11120000000000002,1.0,0.02160630375146866,mlp,0.021318910285830498
-0.006012784352052121,0.8011988011988012,2.3857452869415283,7,0.0,0.11090000000000001,1.0,0.021452993154525757,mlp,0.021324771899729967
-0.01330718218623578,0.9790209790209791,2.3963465690612793,8,0.1,0.1071,0.7002997002997003,0.02171861007809639,mlp,0.021433392025530337
0.0012527541777157107,0.44455544455544455,2.362985372543335,9,0.1,0.10940000000000001,0.7072927072927073,0.021305788308382034,mlp,0.021332512702792884
-0.008570848917406986,0.8731268731268731,2.3906409740448,10,0.1,0.11080000000000001,0.7012987012987013,0.02145356871187687,mlp,0.021271255990490318
-0.0069432808679317165,0.8441558441558441,2.3966739177703857,11,0.1,0.1111,0.7032967032967034,0.02137065678834915,mlp,0.021223297473043204
-0.008017959335081992,0.8721278721278721,2.3728206157684326,12,0.2,0.10750000000000001,0.2937062937062937,0.02126108482480049,mlp,0.021091970264911653
-0.012773788797793135,0.9690309690309691,2.398322343826294,13,0.1,0.10930000000000001,0.7032967032967034,0.021500123664736748,mlp,0.021228949546813966
-0.013786260966484,0.973026973026973,2.393716335296631,14,0.0,0.1124,1.0,0.021669302135705948,mlp,0.02137462596409023
-0.012216188879069933,0.961038961038961,2.394453763961792,15,0.0,0.1131,1.0,0.02136407047510147,mlp,0.021106232749298216
-0.012504229446232846,0.954045954045954,2.388272762298584,16,0.0,0.11470000000000001,1.0,0.02158482000231743,mlp,0.021318251691758633
-0.007596280905952168,0.8651348651348651,2.390139579772949,17,0.1,0.11280000000000001,0.6973026973026973,0.02150019258260727,mlp,0.021338102363049984
-0.013629175420681074,0.973026973026973,2.3944413661956787,18,0.0,0.11380000000000001,1.0,0.02146422304213047,mlp,0.02117561684548855
-0.013543242388029925,0.981018981018981,2.399447202682495,19,0.1,0.1101,0.7222777222777222,0.02153303660452366,mlp,0.02124530627205968
-0.00837178606051726,0.8681318681318682,2.388234853744507,20,0.0,0.11090000000000001,1.0,0.02156216837465763,mlp,0.02138315319083631
-0.011050144928170951,0.938061938061938,2.3863322734832764,21,0.2,0.10940000000000001,0.2967032967032967,0.02156914584338665,mlp,0.02133340858668089
-0.008125367111707632,0.8631368631368631,2.3934638500213623,22,0.1,0.1082,0.6963036963036963,0.021371768787503242,mlp,0.021199514945968986
-0.01183904863446223,0.955044955044955,2.3866255283355713,23,0.1,0.108,0.6923076923076923,0.021485786885023117,mlp,0.021234391886740922
-0.017828717446093417,0.9920079920079921,2.401191234588623,24,0.0,0.1129,1.0,0.02158956415951252,mlp,0.021211392240598797
-0.013822273866858267,0.9790209790209791,2.3967337608337402,25,0.0,0.1149,1.0,0.021507572382688522,mlp,0.021214341938495637
-0.004093653536622373,0.7122877122877123,2.375450611114502,26,0.0,0.1143,1.0,0.021283525973558426,mlp,0.021196753807365895
-0.005032195909734405,0.7652347652347652,2.3801076412200928,27,0.1,0.10980000000000001,0.7092907092907093,0.021262187510728836,mlp,0.021155727744102477
-0.010854065139030386,0.938061938061938,2.3944380283355713,28,0.0,0.10880000000000001,1.0,0.021516256034374237,mlp,0.021285224817693234
-0.01300442277204704,0.958041958041958,2.397733211517334,29,0.0,0.10570000000000002,1.0,0.021545089781284332,mlp,0.02126850514858961
-0.013498448270562149,0.965034965034965,2.3987791538238525,30,0.0,0.11520000000000001,1.0,0.021676547825336456,mlp,0.021387845104560255
-0.013265050282799605,0.962037962037962,2.3826630115509033,31,0.0,0.10880000000000001,1.0,0.02146011032164097,mlp,0.021179167598485947
-0.001741190313226958,0.5984015984015985,2.377162456512451,32,0.0,0.11420000000000002,1.0,0.021323857828974724,mlp,0.02128679347038269
-0.012461785013485976,0.9630369630369631,2.389324903488159,33,0.0,0.10490000000000001,1.0,0.02146877720952034,mlp,0.021204530904069544
-0.004483490436257618,0.7402597402597403,2.373875379562378,34,0.0,0.10830000000000001,1.0,0.021382547914981842,mlp,0.021287107372656464
-0.007135546822425932,0.8311688311688312,2.381673812866211,35,0.0,0.1126,1.0,0.021262064576148987,mlp,0.021111423028633
-0.004518872322791009,0.7412587412587412,2.380537748336792,36,0.0,0.1153,1.0,0.021545451134443283,mlp,0.021448527975007892
-0.009315606155086103,0.9010989010989011,2.3925514221191406,37,0.0,0.1155,1.0,0.02131071127951145,mlp,0.021114021372050047
-0.018754460224735224,0.995004995004995,2.4080309867858887,38,0.0,0.11470000000000001,1.0,0.021823197603225708,mlp,0.02142144987359643
0.001039470672956722,0.44455544455544455,2.366093158721924,39,0.0,0.11600000000000002,1.0,0.021216141059994698,mlp,0.0212382175642997
-0.010000596047420197,0.9300699300699301,2.3870201110839844,40,0.1,0.10540000000000001,0.6883116883116883,0.02142796292901039,mlp,0.021215792359784245
-0.005561627486251795,0.7702297702297702,2.385249614715576,41,0.2,0.11520000000000001,0.32867132867132864,0.021333737298846245,mlp,0.02121574323810637
-0.005388994734788416,0.7652347652347652,2.3733739852905273,42,0.1,0.10430000000000002,0.6753246753246753,0.021511660888791084,mlp,0.021396356038749217
-0.011424395035145024,0.9280719280719281,2.3856282234191895,43,0.2,0.10970000000000002,0.3086913086913087,0.02145206928253174,mlp,0.02120976059883833
-0.011252273068935508,0.926073926073926,2.383096218109131,44,0.0,0.114,1.0,0.021356947720050812,mlp,0.021119307504966853
-0.011467461773669856,0.942057942057942,2.3865315914154053,45,0.0,0.11080000000000001,1.0,0.02155766822397709,mlp,0.021313259238377215
-0.005212930783239226,0.7662337662337663,2.382157802581787,46,0.1,0.11180000000000001,0.7292707292707292,0.021564671769738197,mlp,0.021452839601784946
-0.015464604182410168,0.983016983016983,2.407628059387207,47,0.0,0.10990000000000001,1.0,0.021715164184570312,mlp,0.021384461944922804
-0.007416492268161761,0.8441558441558441,2.3911445140838623,48,0.0,0.1134,1.0,0.021454524248838425,mlp,0.021296578340232374
-0.007295006123691347,0.8351648351648352,2.3928825855255127,49,0.1,0.10460000000000001,0.6953046953046953,0.021493026986718178,mlp,0.021337370736524464
-0.009270352889888816,0.916083916083916,2.383964776992798,50,0.1,0.10990000000000001,0.7182817182817183,0.02150944247841835,mlp,0.021311873886734247
-0.001301134695221844,0.5654345654345654,2.374058961868286,51,0.2,0.10990000000000001,0.2977022977022977,0.021286604925990105,mlp,0.021258944176137447
-0.011574716113380307,0.948051948051948,2.3911197185516357,52,0.1,0.11210000000000002,0.7202797202797203,0.02139432542026043,mlp,0.02114952566474676
-0.0086495593140811,0.8971028971028971,2.3875365257263184,53,0.1,0.10970000000000002,0.6873126873126874,0.02136189676821232,mlp,0.02117871025763452
-0.005224763964235929,0.7502497502497503,2.376974582672119,54,0.0,0.10690000000000001,1.0,0.021371249109506607,mlp,0.021260169740766287
-0.00836755682762559,0.8701298701298701,2.388535499572754,55,0.1,0.10870000000000002,0.6953046953046953,0.02139359712600708,mlp,0.02121607045084238
-0.012918764787258617,0.967032967032967,2.3983845710754395,56,0.1,0.10930000000000001,0.6923076923076923,0.021422479301691055,mlp,0.021149257024750113
-0.013131146610902452,0.973026973026973,2.3920207023620605,57,0.0,0.10800000000000001,1.0,0.021617811173200607,mlp,0.021337623707950115
